id,recording,upload_date,vol,cont,quality,stage,annotator_name,start_1,end_1,start_2,end_2,comments,start_3,end_3,start_4,end_4,start_5,end_5,start_6,end_6,start_7,end_7,start_8,end_8,start_9,end_9,start_10,end_10,start_11,end_11,start_12,end_12,start_13,end_13,start_14,end_14,start_15,end_15,start_16,end_16,start_17,end_17,start_18,end_18,start_19,end_19,start_20,end_20,start_21,end_21
05bieNLXPuaIWEVaX81EkbbjVrh1,cough-shallow_v2,20200814,y,y,clean_audio,cough-shallow,Rohit Kumar,1.483,1.809,1.859,2.225,,2.263,2.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,vowel-e_v2,20200814,y,y,clean_audio,vowel-e,Rohit Kumar,1.853,3.632,4.445,5.011,,5.141,5.635,7.203,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,counting-fast_v2,20200814,y,y,clean_audio,counting-fast,Rohit Kumar,0.988,9.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,counting-normal_v2,20200814,y,y,clean_audio,counting-normal,Rohit Kumar,1.288,15.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,vowel-e_v2,20200919,y,y,clean_audio,vowel-e,Rohit Kumar,0.569,1.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,counting-fast_v2,20200919,y,y,bad_audio,counting-fast,Rohit Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,counting-normal_v2,20200919,y,y,clean_audio,counting-normal,Rohit Kumar,0.375,3.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,vowel-o_v2,20200919,y,y,clean_audio,vowel-o,Rohit Kumar,0.479,1.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,breathing-deep_v2,20200919,y,y,noisy_audio,breathing-deep,Rohit Kumar,1.03,1.292,1.39,1.7,,1.817,2.092,2.209,2.471,2.536,2.811,2.973,3.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,cough-heavy_v2,20200919,y,y,clean_audio,cough-heavy,Rohit Kumar,1.095,1.889,1.928,2.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,cough-shallow_v2,20200919,y,y,clean_audio,cough-shallow,Rohit Kumar,0.945,1.265,1.509,1.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,breathing-shallow_v2,20200919,y,y,bad_audio,breathing-shallow,Rohit Kumar,1.373,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0KSi2atlmsXNcGMfpDNzIjJSvC23,vowel-a_v2,20200919,y,y,clean_audio,vowel-a,Rohit Kumar,0.487,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,vowel-a_v2,20200911,y,y,clean_audio,vowel-a,Rohit Kumar,0.888,14.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,cough-heavy_v2,20200911,y,y,clean_audio,cough-heavy,Rohit Kumar,0.586,0.938,1.376,1.808,,2.021,2.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,breathing-deep_v2,20200911,y,y,clean_audio,breathing-deep,Rohit Kumar,0.466,3.034,3.131,4.251,,4.519,7.221,7.817,10.678,12.285,15.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,breathing-shallow_v2,20200911,y,y,clean_audio,breathing-shallow,Rohit Kumar,0.458,1.737,1.785,2.35,,3.086,3.623,5.085,6.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,vowel-o_v2,20200911,y,y,clean_audio,vowel-o,Rohit Kumar,0.671,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,counting-normal_v2,20200911,y,y,clean_audio,counting-normal,Rohit Kumar,0.575,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,counting-fast_v2,20200911,y,y,clean_audio,counting-fast,Rohit Kumar,0.747,7.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,vowel-e_v2,20200911,y,y,clean_audio,vowel-e,Rohit Kumar,0.718,13.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0RHdUsu2qFMmG4dhpJd1NqM5ZTC2,cough-shallow_v2,20200911,y,y,clean_audio,cough-shallow,Rohit Kumar,0.603,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,counting-fast_v2,20200707,y,y,clean_audio,counting-fast,ANANYA M,0.778,3.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,vowel-o_v2,20200707,y,y,clean_audio,vowel-o,ANANYA M,1.382,6.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,breathing-shallow_v2,20200707,y,y,clean_audio,breathing-shallow,ANANYA M,0.96,2.222,3.616,4.849,,4.912,5.983,6.232,7.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,breathing-deep_v2,20200707,y,y,clean_audio,breathing-deep,ANANYA M,0.927,3.255,3.923,6.188,,6.832,9.011,9.692,12.031,12.514,14.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,cough-heavy_v2,20200707,y,y,clean_audio,cough-heavy,ANANYA M,0.846,2.257,3.098,4.18,,4.872,5.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,cough-shallow_v2,20200707,y,y,clean_audio,cough-shallow,ANANYA M,1.452,2.336,2.959,4.032,,4.406,5.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,vowel-a_v2,20200707,y,y,clean_audio,vowel-a,ANANYA M,0.979,3.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,counting-normal_v2,20200707,y,y,clean_audio,counting-normal,ANANYA M,1.176,9.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c00ybTdnIRUTXeg20bZjJOzhKv1,vowel-e_v2,20200707,y,y,clean_audio,vowel-e,ANANYA M,1.24,4.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,vowel-a_v2,20200814,y,y,clean_audio,vowel-a,ANANYA M,0.806,9.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,cough-shallow_v2,20200814,y,y,clean_audio,cough-shallow,ANANYA M,0.881,1.643,2.026,2.739,,3.461,4.168,4.79,5.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,cough-heavy_v2,20200814,y,y,clean_audio,cough-heavy,ANANYA M,0.674,1.219,1.841,2.386,,2.988,3.581,4.134,4.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,counting-fast_v2,20200814,y,y,clean_audio,counting-fast,ANANYA M,0.568,8.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,breathing-deep_v2,20200814,y,y,clean_audio,breathing-deep,ANANYA M,0.625,1.758,1.807,3.194,,3.287,4.637,4.748,6.067,6.197,7.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,breathing-shallow_v2,20200814,y,y,clean_audio,breathing-shallow,ANANYA M,0.574,2.03,2.088,3.407,,3.537,4.863,5.039,6.442,6.632,7.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,vowel-e_v2,20200814,y,y,clean_audio,vowel-e,ANANYA M,0.899,10.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,counting-normal_v2,20200814,y,y,clean_audio,counting-normal,ANANYA M,0.496,11.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0kQAWAGJHffg9kZhji65QkUaEvx1,vowel-o_v2,20200814,y,y,clean_audio,vowel-o,ANANYA M,0.69,8.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,cough-shallow_v2,20200720,y,y,clean_audio,cough-shallow,ANANYA M,1.397,1.954,2.902,3.44,,4.476,5.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,cough-heavy_v2,20200720,y,y,clean_audio,cough-heavy,ANANYA M,1.409,1.886,2.947,3.429,,4.436,4.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,breathing-deep_v2,20200720,y,y,clean_audio,breathing-deep,ANANYA M,0.889,3.666,4.786,8.115,,8.514,11.767,12.32,15.342,15.803,18.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,vowel-e_v2,20200720,n,y,clean_audio,vowel-e,ANANYA M,0.696,9.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,vowel-a_v2,20200720,y,y,clean_audio,vowel-a,ANANYA M,0.942,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,breathing-shallow_v2,20200720,y,y,noisy_audio,breathing-shallow,ANANYA M,1.224,2.717,3.047,5.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,vowel-o_v2,20200720,n,y,noisy_audio,vowel-o,ANANYA M,0.888,28.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,counting-normal_v2,20200720,y,y,clean_audio,counting-normal,ANANYA M,0.911,14.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zAgZhOXaGhmL1SnhkzJOIoowKg2,counting-fast_v2,20200720,y,y,clean_audio,counting-fast,ANANYA M,0.397,7.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,breathing-shallow_v2,20200820,y,y,clean_audio,breathing-shallow,Rohit Kumar,0.526,5.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,counting-fast_v2,20200820,y,y,clean_audio,counting-fast,Rohit Kumar,0.718,6.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,counting-normal_v2,20200820,y,y,clean_audio,counting-normal,Rohit Kumar,0.366,14.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,vowel-o_v2,20200820,y,y,clean_audio,vowel-o,Rohit Kumar,1.017,5.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,vowel-e_v2,20200820,y,y,clean_audio,vowel-e,Rohit Kumar,1.245,5.516,6.07,6.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,vowel-a_v2,20200820,y,y,clean_audio,vowel-a,Rohit Kumar,0.693,6.121,6.271,6.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,cough-shallow_v2,20200820,y,y,clean_audio,cough-shallow,Rohit Kumar,1.427,1.666,2.109,2.386,,2.747,3.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,cough-heavy_v2,20200820,y,y,clean_audio,cough-heavy,Rohit Kumar,1.43,2.304,2.541,3.142,,3.516,4.203,4.678,6.056,6.359,6.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zUxdfS5aoS6SiEoF1x6JXOk25B3,breathing-deep_v2,20200820,y,y,clean_audio,breathing-deep,Rohit Kumar,0.221,2.131,2.367,3.902,,4.099,6.028,6.225,7.484,8.016,9.59,9.846,11.224,11.618,12.779,13.251,14.845,15.377,16.774,16.971,18.093,18.644,19.825,20.042,21.104,22.01,23.427,23.801,25.316,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,vowel-a_v2,20200525,y,y,clean_audio,vowel-a,ANANYA M,0.105,7.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,counting-normal_v2,20200525,y,y,clean_audio,counting-normal,ANANYA M,0.52,14.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,cough-heavy_v2,20200525,y,y,clean_audio,cough-heavy,ANANYA M,0.749,2.275,4.262,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,breathing-deep_v2,20200525,y,y,clean_audio,breathing-deep,ANANYA M,0.373,2.891,3.192,5.616,,5.897,7.935,8.289,10.369,10.744,12.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,breathing-shallow_v2,20200525,y,y,clean_audio,breathing-shallow,ANANYA M,0.742,1.612,1.667,2.527,,2.628,3.472,3.553,4.341,4.498,5.337,5.428,6.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,vowel-o_v2,20200525,y,y,clean_audio,vowel-o,ANANYA M,0.517,12.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,vowel-e_v2,20200525,y,y,clean_audio,vowel-e,ANANYA M,0.323,20.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,cough-shallow_v2,20200525,y,y,clean_audio,cough-shallow,ANANYA M,0.527,0.849,1.21,1.466,,1.993,2.31,2.597,2.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G9prDQSP1fpNL0yc7C6Rqy7jmK2,counting-fast_v2,20200525,y,y,clean_audio,counting-fast,ANANYA M,0.565,4.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,counting-fast_v2,20200820,y,y,clean_audio,counting-fast,Rohit Kumar,1.307,5.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,counting-normal_v2,20200820,y,y,clean_audio,counting-normal,Rohit Kumar,0.031,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,vowel-e_v2,20200820,y,y,clean_audio,vowel-e,Rohit Kumar,0.691,3.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,vowel-o_v2,20200820,y,y,clean_audio,vowel-o,Rohit Kumar,1.078,4.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,breathing-shallow_v2,20200820,y,y,clean_audio,breathing-shallow,Rohit Kumar,2.075,2.517,3.366,3.967,,4.685,5.398,6.718,7.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,breathing-deep_v2,20200820,y,y,clean_audio,breathing-deep,Rohit Kumar,1.129,1.819,1.901,2.74,,3.562,4.524,5.651,6.975,7.534,8.159,8.397,9.861,10.001,10.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,cough-heavy_v2,20200820,y,y,clean_audio,cough-heavy,Rohit Kumar,0.375,0.734,1.054,2.245,,3.155,5.419,5.498,5.822,5.935,6.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,cough-shallow_v2,20200820,y,y,clean_audio,cough-shallow,Rohit Kumar,1.39,2.313,2.999,4.001,,4.504,6.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8i6Q47ewbzrTiKqIeOLEvPv2Z2,vowel-a_v2,20200820,y,y,clean_audio,vowel-a,Rohit Kumar,0.883,3.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,counting-fast_v2,20200525,y,y,clean_audio,counting-fast,Rohit Kumar,1.481,5.195,5.521,6.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,counting-normal_v2,20200525,y,y,clean_audio,counting-normal,Rohit Kumar,0.965,1.538,1.733,2.215,,2.329,2.696,2.879,3.406,3.636,4.174,4.335,4.793,5.114,5.733,5.928,6.34,6.501,6.925,7.188,7.566,7.956,8.506,8.735,9.079,9.492,9.881,10.179,10.569,10.878,11.371,11.6,11.955,12.185,12.666,12.872,13.273,13.548,14.19,14.27,14.683,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,vowel-o_v2,20200525,y,y,clean_audio,vowel-o,Rohit Kumar,1.549,5.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,vowel-a_v2,20200525,y,y,clean_audio,vowel-a,Rohit Kumar,1.91,6.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,cough-shallow_v2,20200525,y,y,clean_audio,cough-shallow,Rohit Kumar,1.517,2.308,2.702,3.466,,3.863,4.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,cough-heavy_v2,20200525,y,y,clean_audio,cough-heavy,Rohit Kumar,0.906,1.26,1.679,2.22,,2.77,3.157,3.483,4.239,4.733,5.04,5.19,5.395,5.511,5.688,5.824,6.001,,,,,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,breathing-deep_v2,20200525,y,y,clean_audio,breathing-deep,Rohit Kumar,1.781,2.683,3.482,4.216,,5.299,6.265,6.639,7.283,8.223,9.074,9.924,11.019,11.47,12.114,13.171,14.433,14.549,15.477,15.902,16.881,,,,,,,,,,,,,,,,,,,,,,
1kXfAOTvLBbCCcTBJOrHUFzARSo1,breathing-shallow_v2,20200525,y,y,clean_audio,breathing-shallow,Rohit Kumar,0.744,1.317,1.42,1.993,,2.171,3.025,3.1,3.748,4.105,4.969,5.109,5.982,6.105,6.959,7.071,7.926,8.32,9.954,10.226,11.803,,,,,,,,,,,,,,,,,,,,,,
