id,recording,vol,cont,quality,stage,clean,comments
FGRDO4IBbAejR0WHD5YbkXTCasg2,breathing-shallow,y,y,,breathing-shallow,y,Noise at the beginning of file. Probably mouse click or a tap
FGRDO4IBbAejR0WHD5YbkXTCasg2,vowel-a,y,y,,vowel-a,y,Mouse click noise at the end
FGRDO4IBbAejR0WHD5YbkXTCasg2,cough-heavy,y,y,,cough-heavy,y,Mouse click noise at the end
FGRDO4IBbAejR0WHD5YbkXTCasg2,counting-fast,y,n,,counting-fast,y,Count only till 15
htQzROl26OWQpIYFDzv11F79PLR2,vowel-o,y,y,clean_audio,vowel-o,,
htQzROl26OWQpIYFDzv11F79PLR2,vowel-e,n,y,bad_audio,vowel-e,,no audio
htQzROl26OWQpIYFDzv11F79PLR2,cough-shallow,n,y,clean_audio,cough-shallow,,"no audio was there
"
htQzROl26OWQpIYFDzv11F79PLR2,breathing-deep,n,y,clean_audio,breathing-deep,,
htQzROl26OWQpIYFDzv11F79PLR2,counting-normal,n,y,bad_audio,counting-normal,,no audio
htQzROl26OWQpIYFDzv11F79PLR2,breathing-shallow,y,y,clean_audio,breathing-shallow,,
htQzROl26OWQpIYFDzv11F79PLR2,vowel-a,n,y,clean_audio,vowel-a,,no audio
htQzROl26OWQpIYFDzv11F79PLR2,cough-heavy,n,y,clean_audio,cough-heavy,,no audio
htQzROl26OWQpIYFDzv11F79PLR2,counting-fast,n,y,bad_audio,counting-fast,,no audio
pW9mCAeWYiMoM7wW7riLvNRbYDO2,vowel-o,y,y,clean_audio,vowel-o,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,vowel-e,y,y,clean_audio,vowel-e,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,cough-shallow,y,y,clean_audio,cough-shallow,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,breathing-deep,y,y,clean_audio,breathing-deep,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,counting-normal,y,y,clean_audio,counting-normal,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,breathing-shallow,y,y,clean_audio,breathing-shallow,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,vowel-a,y,y,clean_audio,vowel-a,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,cough-heavy,y,y,clean_audio,cough-heavy,,
pW9mCAeWYiMoM7wW7riLvNRbYDO2,counting-fast,y,y,clean_audio,counting-fast,,
Eu11s84cuBTiPXTAtVf9mj3GkqA2,vowel-o,y,n,,vowel-o,y,saying om
Eu11s84cuBTiPXTAtVf9mj3GkqA2,vowel-e,y,y,,vowel-e,y,Amplitude modulated over time 
Eu11s84cuBTiPXTAtVf9mj3GkqA2,cough-shallow,y,y,,cough-shallow,y,
Eu11s84cuBTiPXTAtVf9mj3GkqA2,breathing-deep,y,y,,breathing-deep,y,
Eu11s84cuBTiPXTAtVf9mj3GkqA2,counting-normal,y,y,,counting-normal,y,appears like fast.
Eu11s84cuBTiPXTAtVf9mj3GkqA2,breathing-shallow,n,n,,bad_audio,n,No Audio. Empty file maybe
Eu11s84cuBTiPXTAtVf9mj3GkqA2,vowel-a,y,y,,vowel-a,y,amplitude modulated over time
Eu11s84cuBTiPXTAtVf9mj3GkqA2,cough-heavy,y,y,,cough-heavy,y,
Eu11s84cuBTiPXTAtVf9mj3GkqA2,counting-fast,y,y,,counting-fast,y,"very fast. compared to the average speaking rate, this subjects normal should be taken as fast"
L7S8iIPKgiO6QWLC3mGkROCMa0s1,vowel-o,y,y,clean_audio,vowel-o,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,vowel-e,y,y,clean_audio,vowel-e,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,cough-shallow,y,y,clean_audio,cough-shallow,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,breathing-deep,y,y,noisy_audio,breathing-deep,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,counting-normal,y,y,bad_audio,counting-normal,y,"long gap between 7 and 8, and 16-17"
L7S8iIPKgiO6QWLC3mGkROCMa0s1,breathing-shallow,y,y,clean_audio,breathing-shallow,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,vowel-a,y,y,clean_audio,vowel-a,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,cough-heavy,y,y,clean_audio,cough-heavy,y,
L7S8iIPKgiO6QWLC3mGkROCMa0s1,counting-fast,y,y,clean_audio,counting-fast,y,
eP8gEM0KcBU6S5JpMdycX74KP3p2,vowel-o,y,y,clean_audio,vowel-o,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,vowel-e,y,y,clean_audio,vowel-e,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,cough-shallow,y,y,clean_audio,cough-shallow,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,breathing-deep,y,y,clean_audio,breathing-deep,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,counting-normal,y,y,clean_audio,counting-normal,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,breathing-shallow,y,y,clean_audio,breathing-shallow,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,vowel-a,y,y,clean_audio,vowel-a,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,cough-heavy,y,y,clean_audio,cough-heavy,,
eP8gEM0KcBU6S5JpMdycX74KP3p2,counting-fast,y,y,clean_audio,counting-fast,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,vowel-o,y,y,noisy_audio,vowel-o,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,vowel-e,n,n,bad_audio,vowel-e,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,cough-shallow,n,n,bad_audio,cough-shallow,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,breathing-deep,n,n,bad_audio,breathing-deep,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,counting-normal,y,y,noisy_audio,counting-normal,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,breathing-shallow,n,n,bad_audio,breathing-shallow,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,vowel-a,n,n,bad_audio,vowel-a,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,cough-heavy,n,n,bad_audio,cough-heavy,,
UiUUhL0PMjWVA6W2dKte1DCE6wG2,counting-fast,n,n,bad_audio,counting-fast,,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,vowel-o,y,y,,vowel-o,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,vowel-e,y,y,,vowel-e,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,cough-shallow,y,y,,cough-shallow,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,breathing-deep,y,y,,breathing-deep,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,counting-normal,y,y,,counting-normal,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,breathing-shallow,n,y,,breathing-shallow,y,Very low volume
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,vowel-a,y,y,,vowel-a,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,cough-heavy,y,y,,cough-heavy,y,
2TkAK2YVkYS7Ux3hAPBUgYgg9DI3,counting-fast,y,y,,counting-fast,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,vowel-o,y,y,noisy_audio,vowel-o,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,vowel-e,y,y,clean_audio,vowel-e,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,cough-shallow,y,y,noisy_audio,cough-shallow,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,breathing-deep,y,y,noisy_audio,breathing-deep,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,counting-normal,y,y,clean_audio,counting-normal,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,breathing-shallow,y,y,noisy_audio,breathing-shallow,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,vowel-a,y,y,noisy_audio,vowel-a,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,cough-heavy,y,y,clean_audio,cough-heavy,y,
QQbzKidDxHQ0eZFEL4uG68s1lc02,counting-fast,y,y,clean_audio,counting-fast,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,vowel-o,y,y,,vowel-o,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,vowel-e,y,y,,vowel-e,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,cough-shallow,y,y,,cough-shallow,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,breathing-deep,y,y,,breathing-deep,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,counting-normal,y,y,,counting-normal,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,breathing-shallow,y,y,,breathing-shallow,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,vowel-a,y,y,,vowel-a,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,cough-heavy,y,y,,cough-heavy,y,
9ypQNsTsSQYlx72wxTLrHzzNoAJ2,counting-fast,y,y,,counting-fast,y,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,vowel-o,y,y,clean_audio,vowel-o,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,vowel-e,y,y,clean_audio,vowel-e,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,cough-shallow,y,y,clean_audio,cough-shallow,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,breathing-deep,y,y,clean_audio,breathing-deep,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,counting-normal,y,y,clean_audio,counting-normal,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,breathing-shallow,y,y,noisy_audio,breathing-shallow,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,vowel-a,y,y,clean_audio,vowel-a,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,cough-heavy,y,y,clean_audio,cough-heavy,,
cfZUmZvsecYVKw5eSi4qIhfJVpI3,counting-fast,y,y,clean_audio,counting-fast,,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,vowel-o,y,y,,vowel-o,n,Noisy at the end
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,vowel-e,y,n,,vowel-e,y,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,cough-shallow,y,y,,cough-shallow,n,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,breathing-deep,n,y,,breathing-deep,n,Very close to the microphone. Clipped audio?
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,counting-normal,y,y,,counting-normal,y,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,breathing-shallow,n,y,,breathing-shallow,n,Very close to the microphone. Wind noise
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,vowel-a,y,n,,vowel-a,y,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,cough-heavy,y,n,,cough-heavy,n,
5ZDF98UQUxcVuS9VhaWxKlVnXvs1,counting-fast,y,y,,counting-fast,y,Noise at the beginning of file
tiKv850hJFTmpCAvfJOmOOqkeUs1,vowel-o,n,n,bad_audio,vowel-o,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,vowel-e,n,n,bad_audio,vowel-e,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,cough-shallow,n,n,bad_audio,cough-shallow,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,breathing-deep,n,n,bad_audio,breathing-deep,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,counting-normal,n,n,bad_audio,counting-normal,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,breathing-shallow,n,n,bad_audio,breathing-shallow,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,vowel-a,n,n,bad_audio,vowel-a,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,cough-heavy,n,n,bad_audio,cough-heavy,,
tiKv850hJFTmpCAvfJOmOOqkeUs1,counting-fast,n,n,bad_audio,counting-fast,,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,vowel-o,y,y,clean_audio,vowel-o,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,vowel-e,y,y,clean_audio,vowel-e,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,cough-shallow,y,y,clean_audio,cough-shallow,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,breathing-deep,y,y,clean_audio,breathing-deep,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,counting-normal,y,y,clean_audio,counting-normal,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,breathing-shallow,y,y,clean_audio,breathing-shallow,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,vowel-a,y,y,clean_audio,vowel-a,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,cough-heavy,y,y,clean_audio,cough-heavy,y,
LqGeCxef4fN4IPanKEbWkO1fAwJ3,counting-fast,y,y,clean_audio,counting-fast,y,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,vowel-o,y,y,noisy_audio,vowel-o,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,vowel-e,y,y,noisy_audio,vowel-e,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,cough-shallow,y,y,clean_audio,cough-shallow,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,breathing-deep,y,y,clean_audio,breathing-deep,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,counting-normal,y,y,clean_audio,counting-normal,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,breathing-shallow,y,y,clean_audio,breathing-shallow,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,vowel-a,y,y,clean_audio,vowel-a,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,cough-heavy,y,y,clean_audio,cough-heavy,,
XUsJp0qysAPtu3vBI0UCiHRJhZ22,counting-fast,y,y,clean_audio,counting-fast,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,vowel-o,y,y,clean_audio,vowel-o,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,vowel-e,y,y,clean_audio,vowel-e,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,cough-shallow,y,y,clean_audio,cough-shallow,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,breathing-deep,y,y,clean_audio,breathing-deep,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,counting-normal,y,y,clean_audio,counting-normal,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,breathing-shallow,y,y,clean_audio,breathing-shallow,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,vowel-a,y,y,clean_audio,vowel-a,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,cough-heavy,y,y,clean_audio,cough-heavy,,
eZ9KEu3fmEgvxINqgcbkBXoEsv53,counting-fast,y,y,clean_audio,counting-fast,,
TRK6gUseEUS7dbF0soG80W1uLm53,vowel-o,y,y,bad_audio,vowel-o,,
TRK6gUseEUS7dbF0soG80W1uLm53,vowel-e,y,y,bad_audio,vowel-e,,
TRK6gUseEUS7dbF0soG80W1uLm53,cough-shallow,y,y,bad_audio,cough-shallow,,
TRK6gUseEUS7dbF0soG80W1uLm53,breathing-deep,y,y,bad_audio,breathing-deep,,
TRK6gUseEUS7dbF0soG80W1uLm53,counting-normal,y,y,bad_audio,counting-normal,,
TRK6gUseEUS7dbF0soG80W1uLm53,breathing-shallow,y,y,bad_audio,breathing-shallow,,
TRK6gUseEUS7dbF0soG80W1uLm53,vowel-a,y,y,bad_audio,vowel-a,,
TRK6gUseEUS7dbF0soG80W1uLm53,cough-heavy,y,y,bad_audio,cough-heavy,,
TRK6gUseEUS7dbF0soG80W1uLm53,counting-fast,y,y,bad_audio,counting-fast,,
iq8oYXczSjPuJoVS7DBpkGNMC2p1,vowel-o,n,n,bad_audio,vowel-o,,no audio only noise
iq8oYXczSjPuJoVS7DBpkGNMC2p1,vowel-e,n,n,bad_audio,vowel-e,,no audio only noise
iq8oYXczSjPuJoVS7DBpkGNMC2p1,cough-shallow,y,y,clean_audio,cough-shallow,,
iq8oYXczSjPuJoVS7DBpkGNMC2p1,breathing-deep,y,y,noisy_audio,breathing-deep,,
iq8oYXczSjPuJoVS7DBpkGNMC2p1,counting-normal,n,n,bad_audio,counting-normal,,noise only
iq8oYXczSjPuJoVS7DBpkGNMC2p1,breathing-shallow,y,y,noisy_audio,breathing-shallow,,
iq8oYXczSjPuJoVS7DBpkGNMC2p1,vowel-a,n,n,noisy_audio,vowel-a,,no audio only noise
iq8oYXczSjPuJoVS7DBpkGNMC2p1,cough-heavy,y,y,noisy_audio,cough-heavy,,
iq8oYXczSjPuJoVS7DBpkGNMC2p1,counting-fast,n,y,bad_audio,counting-fast,,noise only
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,vowel-o,y,y,clean_audio,vowel-o,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,vowel-e,y,y,bad_audio,vowel-e,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,cough-shallow,y,y,clean_audio,cough-shallow,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,breathing-deep,y,y,noisy_audio,breathing-deep,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,counting-normal,y,y,noisy_audio,counting-normal,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,breathing-shallow,y,y,noisy_audio,breathing-shallow,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,vowel-a,y,y,noisy_audio,vowel-a,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,cough-heavy,y,y,clean_audio,cough-heavy,y,
O4BFgxvAgwbwRGZMkMBJRFnGBbd2,counting-fast,y,y,clean_audio,counting-fast,y,
nMIOAh7qRFf3pqbchclOLKbPDOm1,vowel-o,y,y,clean_audio,vowel-o,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,vowel-e,y,y,clean_audio,vowel-e,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,cough-shallow,y,y,clean_audio,cough-shallow,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,breathing-deep,y,y,clean_audio,breathing-deep,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,counting-normal,y,y,clean_audio,counting-normal,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,breathing-shallow,y,y,clean_audio,breathing-shallow,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,vowel-a,y,y,clean_audio,vowel-a,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,cough-heavy,y,y,clean_audio,cough-heavy,,
nMIOAh7qRFf3pqbchclOLKbPDOm1,counting-fast,y,y,clean_audio,counting-fast,,
Pr79fov0a5TW5KPo0XACvIqMtO72,vowel-o,y,y,clean_audio,vowel-o,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,vowel-e,y,y,clean_audio,vowel-e,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,cough-shallow,y,y,clean_audio,cough-shallow,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,breathing-deep,y,y,noisy_audio,breathing-deep,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,counting-normal,y,y,noisy_audio,counting-normal,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,breathing-shallow,y,y,clean_audio,breathing-shallow,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,vowel-a,y,y,clean_audio,vowel-a,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,cough-heavy,y,y,noisy_audio,cough-heavy,y,
Pr79fov0a5TW5KPo0XACvIqMtO72,counting-fast,y,y,clean_audio,counting-fast,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,vowel-o,y,y,,vowel-o,n,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,vowel-e,y,y,,vowel-e,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,cough-shallow,y,y,,cough-shallow,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,breathing-deep,y,y,,breathing-deep,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,counting-normal,y,y,,counting-normal,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,breathing-shallow,y,y,,breathing-shallow,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,vowel-a,y,y,,vowel-a,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,cough-heavy,y,y,,cough-heavy,y,
60Ig4PmU9NMqKGDMR8Um0Tc2KXB3,counting-fast,y,y,,counting-fast,y,
CrlV0ddIqdbtxNnkIhtPS5dvoX42,vowel-o,n,y,,vowel-o,y,Low and progressively decreasing volume
CrlV0ddIqdbtxNnkIhtPS5dvoX42,vowel-e,y,y,,vowel-e,y,Volume progressively decreasing
CrlV0ddIqdbtxNnkIhtPS5dvoX42,cough-shallow,y,y,,cough-shallow,y,
CrlV0ddIqdbtxNnkIhtPS5dvoX42,breathing-deep,y,y,,breathing-deep,n,Close to the microphone. Clipped audio?
CrlV0ddIqdbtxNnkIhtPS5dvoX42,counting-normal,y,y,,counting-normal,n,Counted only to 1
CrlV0ddIqdbtxNnkIhtPS5dvoX42,breathing-shallow,n,y,,breathing-shallow,y,Clean file with feeble audio
CrlV0ddIqdbtxNnkIhtPS5dvoX42,vowel-a,y,y,,vowel-a,y,
CrlV0ddIqdbtxNnkIhtPS5dvoX42,cough-heavy,y,y,,cough-heavy,y,
CrlV0ddIqdbtxNnkIhtPS5dvoX42,counting-fast,y,y,,counting-fast,y,Count only till 17. Audio stopped abruptly
KL32QXSSnLZlRRT2B6rQQQKgpx12,vowel-o,y,y,noisy_audio,vowel-o,n,
KL32QXSSnLZlRRT2B6rQQQKgpx12,vowel-e,y,y,noisy_audio,vowel-e,n,
KL32QXSSnLZlRRT2B6rQQQKgpx12,cough-shallow,y,y,clean_audio,cough-shallow,y,
KL32QXSSnLZlRRT2B6rQQQKgpx12,breathing-deep,y,y,noisy_audio,breathing-deep,n,
KL32QXSSnLZlRRT2B6rQQQKgpx12,counting-normal,y,y,noisy_audio,counting-normal,n,
KL32QXSSnLZlRRT2B6rQQQKgpx12,breathing-shallow,y,y,noisy_audio,breathing-shallow,y,
KL32QXSSnLZlRRT2B6rQQQKgpx12,vowel-a,y,y,noisy_audio,vowel-a,n,
KL32QXSSnLZlRRT2B6rQQQKgpx12,cough-heavy,y,y,clean_audio,cough-heavy,y,
KL32QXSSnLZlRRT2B6rQQQKgpx12,counting-fast,y,y,noisy_audio,counting-fast,n,
tOlOwYDEHCRx1QegeMOPaydVcgv1,vowel-o,y,y,clean_audio,vowel-o,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,vowel-e,y,y,clean_audio,vowel-e,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,cough-shallow,y,y,clean_audio,cough-shallow,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,breathing-deep,y,y,clean_audio,breathing-deep,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,counting-normal,y,y,noisy_audio,counting-normal,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,breathing-shallow,n,n,noisy_audio,breathing-shallow,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,vowel-a,y,y,clean_audio,vowel-a,,
tOlOwYDEHCRx1QegeMOPaydVcgv1,cough-heavy,y,y,clean_audio,cough-heavy,,
